Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
26,2023,K리그1,하나원큐 K리그1 2023,6,2023/02/26,대전,강원,대전 월드컵,18590,975,주말
27,2023,K리그1,하나원큐 K리그1 2023,173,2023/09/03,울산,광주,울산 문수,18358,380,주말
28,2023,K리그1,하나원큐 K리그1 2023,143,2023/07/22,서울,인천,서울 월드컵,18150,2385,주말
29,2023,K리그1,하나원큐 K리그1 2023,107,2023/06/11,서울,포항,서울 월드컵,18108,992,주말
30,2023,K리그1,하나원큐 K리그1 2023,161,2023/08/19,서울,대구,서울 월드컵,17800,1308,주말
31,2023,K리그1,하나원큐 K리그1 2023,193,2023/10/08,울산,인천,울산 문수,17584,1022,주말
32,2023,K리그1,하나원큐 K리그1 2023,147,2023/08/05,수원,수원FC,수원 월드컵,17481,1729,주말
33,2023,K리그1,하나원큐 K리그1 2023,89,2023/05/28,울산,대전,울산 문수,17251,839,주말
34,2023,K리그1,하나원큐 K리그1 2023,178,2023/09/16,울산,대전,울산 문수,17237,886,주말
35,2023,K리그1,하나원큐 K리그1 2023,216,2023/11/12,울산,포항,울산 문수,16946,1505,주말
36,2023,K리그1,하나원큐 K리그1 2023,44,2023/04/22,울산,포항,울산 문수,16761,1820,주말
37,2023,K리그1,하나원큐 K리그1 2023,41,2023/04/16,대전,울산,대전 월드컵,16359,1794,주말
38,2023,K리그1,하나원큐 K리그1 2023,198,2023/10/08,대전,제주,대전 월드컵,15818,1003,주말
39,2023,K리그1,하나원큐 K리그1 2023,28,2023/04/01,대전,서울,대전 월드컵,15793,1712,주말
40,2023,K리그1,하나원큐 K리그1 2023,77,2023/05/14,인천,전북,인천 전용,15738,2420,주말
41,2023,K리그1,하나원큐 K리그1 2023,24,2023/03/19,울산,수원FC,울산 문수,15230,216,주말
42,2023,K리그1,하나원큐 K리그1 2023,31,2023/04/08,울산,수원,울산 문수,15181,728,주말
43,2023,K리그1,하나원큐 K리그1 2023,190,2023/09/30,인천,수원,인천 전용,15040,2120,주말
44,2023,K리그1,하나원큐 K리그1 2023,145,2023/08/04,서울,포항,서울 월드컵,15016,1229, 
45,2023,K리그1,하나원큐 K리그1 2023,189,2023/09/30,전북,대구,전주 월드컵,14963,1610,주말
46,2023,K리그1,하나원큐 K리그1 2023,181,2023/09/23,대전,수원,대전 월드컵,14810,2710,주말
47,2023,K리그1,하나원큐 K리그1 2023,187,2023/09/30,포항,울산,포항 스틸야드,14640,1203,주말
48,2023,K리그1,하나원큐 K리그1 2023,123,2023/07/08,포항,울산,포항 스틸야드,14486,1152,주말
49,2023,K리그1,하나원큐 K리그1 2023,87,2023/05/28,서울,강원,서울 월드컵,14419,547,주말
50,2023,K리그1,하나원큐 K리그1 2023,90,2023/05/29,포항,전북,포항 스틸야드,14377,1121, 
51,2023,K리그1,하나원큐 K리그1 2023,81,2023/05/20,대전,대구,대전 월드컵,14275,1422,주말
52,2023,K리그1,하나원큐 K리그1 2023,151,2023/08/12,전북,수원,전주 월드컵,14216,2035,주말
53,2023,K리그1,하나원큐 K리그1 2023,4,2023/02/26,포항,대구,포항 스틸야드,14089,1152,주말
54,2023,K리그1,하나원큐 K리그1 2023,95,2023/06/04,대전,인천,대전 월드컵,13779,1078,주말
55,2023,K리그1,하나원큐 K리그1 2023,57,2023/04/30,대전,제주,대전 월드컵,13777,240,주말
56,2023,K리그1,하나원큐 K리그1 2023,126,2023/07/09,대전,수원,대전 월드컵,13685,1860,주말
57,2023,K리그1,하나원큐 K리그1 2023,84,2023/05/21,전북,수원FC,전주 월드컵,13634,208,주말
58,2023,K리그1,하나원큐 K리그1 2023,154,2023/08/13,대전,서울,대전 월드컵,13290,1725,주말
59,2023,K리그1,하나원큐 K리그1 2023,92,2023/06/03,수원,수원FC,수원 월드컵,13104,1326,주말
60,2023,K리그1,하나원큐 K리그1 2023,139,2023/07/21,울산,제주,울산 문수,13073,117, 
61,2023,K리그1,하나원큐 K리그1 2023,25,2023/04/01,전북,포항,전주 월드컵,12767,489,주말
62,2023,K리그1,하나원큐 K리그1 2023,83,2023/05/21,수원,울산,수원 월드컵,12639,2353,주말
63,2023,K리그1,하나원큐 K리그1 2023,228,2023/12/03,대구,인천,대구iM뱅크PARK,12334,622,주말
64,2023,K리그1,하나원큐 K리그1 2023,205,2023/10/28,전북,포항,전주 월드컵,12266,597,주말
65,2023,K리그1,하나원큐 K리그1 2023,22,2023/03/19,대구,전북,대구iM뱅크PARK,12253,572,주말
66,2023,K리그1,하나원큐 K리그1 2023,212,2023/11/11,대구,광주,대구iM뱅크PARK,12222,617,주말
67,2023,K리그1,하나원큐 K리그1 2023,201,2023/10/21,대구,전북,대구iM뱅크PARK,12211,622,주말
68,2023,K리그1,하나원큐 K리그1 2023,115,2023/07/01,전북,제주,전주 월드컵,12175,157,주말
68,2023,K리그1,하나원큐 K리그1 2023,116,2023/07/01,대구,수원,대구iM뱅크PARK,12175,622,주말
70,2023,K리그1,하나원큐 K리그1 2023,165,2023/08/26,대구,제주,대구iM뱅크PARK,12136,615,주말
71,2023,K리그1,하나원큐 K리그1 2023,172,2023/09/02,인천,포항,인천 전용,12134,962,주말
72,2023,K리그1,하나원큐 K리그1 2023,60,2023/04/30,울산,광주,울산 문수,12068,126,주말
73,2023,K리그1,하나원큐 K리그1 2023,96,2023/06/04,대구,서울,대구iM뱅크PARK,12056,572,주말
74,2023,K리그1,하나원큐 K리그1 2023,61,2023/05/05,대구,울산,대구iM뱅크PARK,11929,572, 
75,2023,K리그1,하나원큐 K리그1 2023,148,2023/08/05,대구,울산,대구iM뱅크PARK,11928,622,주말
76,2023,K리그1,하나원큐 K리그1 2023,214,2023/11/12,인천,전북,인천 전용,11912,2121,주말
77,2023,K리그1,하나원큐 K리그1 2023,186,2023/09/24,대구,포항,대구iM뱅크PARK,11858,622,주말
78,2023,K리그1,하나원큐 K리그1 2023,196,2023/10/08,수원,포항,수원 월드컵,11772,1807,주말
79,2023,K리그1,하나원큐 K리그1 2023,86,2023/05/27,대구,인천,대구iM뱅크PARK,11706,572,주말
80,2023,K리그1,하나원큐 K리그1 2023,209,2023/10/29,수원,대전,수원 월드컵,11658,1762,주말
81,2023,K리그1,하나원큐 K리그1 2023,202,2023/10/22,서울,강원,서울 월드컵,11638,770,주말
82,2023,K리그1,하나원큐 K리그1 2023,103,2023/06/10,대구,수원FC,대구iM뱅크PARK,11457,254,주말
83,2023,K리그1,하나원큐 K리그1 2023,218,2023/11/25,전북,광주,전주 월드컵,11369,1022,주말
84,2023,K리그1,하나원큐 K리그1 2023,164,2023/08/25,전북,대전,전주 월드컵,11224,1411, 
85,2023,K리그1,하나원큐 K리그1 2023,142,2023/07/22,강원,수원,강릉하이원아레나,11084,1632,주말
86,2023,K리그1,하나원큐 K리그1 2023,180,2023/09/17,수원,대구,수원 월드컵,11048,1276,주말
87,2023,K리그1,하나원큐 K리그1 2023,136,2023/07/16,전북,수원FC,전주 월드컵,10905,145,주말
88,2023,K리그1,하나원큐 K리그1 2023,9,2023/03/04,대구,제주,대구iM뱅크PARK,10851,193,주말
89,2023,K리그1,하나원큐 K리그1 2023,194,2023/10/08,대구,수원FC,대구iM뱅크PARK,10776,599,주말
90,2023,K리그1,하나원큐 K리그1 2023,175,2023/09/16,전북,강원,전주 월드컵,10620,213,주말
91,2023,K리그1,하나원큐 K리그1 2023,160,2023/08/19,강원,수원FC,강릉하이원아레나,10503,286,주말
92,2023,K리그1,하나원큐 K리그1 2023,144,2023/07/22,대전,대구,대전 월드컵,10473,1799,주말
93,2023,K리그1,하나원큐 K리그1 2023,23,2023/03/19,수원,대전,수원 월드컵,10442,1002,주말
94,2023,K리그1,하나원큐 K리그1 2023,132,2023/07/12,서울,수원FC,서울 월드컵,10407,257, 
95,2023,K리그1,하나원큐 K리그1 2023,3,2023/02/25,수원,광주,수원 월드컵,10348,409,주말
96,2023,K리그1,하나원큐 K리그1 2023,149,2023/08/06,전북,인천,전주 월드컵,10327,638,주말
97,2023,K리그1,하나원큐 K리그1 2023,45,2023/04/22,대구,대전,대구iM뱅크PARK,10236,572,주말
97,2023,K리그1,하나원큐 K리그1 2023,69,2023/05/09,서울,광주,서울 월드컵,10236,177, 
99,2023,K리그1,하나원큐 K리그1 2023,223,2023/12/02,대전,서울,대전 월드컵,10176,883,주말
100,2023,K리그1,하나원큐 K리그1 2023,185,2023/09/24,강원,인천,강릉하이원아레나,10047,651,주말
101,2023,K리그1,하나원큐 K리그1 2023,48,2023/04/23,제주,전북,제주 월드컵,10041,572,주말
102,2023,K리그1,하나원큐 K리그1 2023,7,2023/03/04,인천,대전,인천 전용,10011,640,주말
103,2023,K리그1,하나원큐 K리그1 2023,169,2023/09/01,대전,수원FC,대전 월드컵,9955,200, 
104,2023,K리그1,하나원큐 K리그1 2023,133,2023/07/15,수원,울산,수원 월드컵,9946,1744,주말
105,2023,K리그1,하나원큐 K리그1 2023,170,2023/09/01,대구,강원,대구iM뱅크PARK,9806,199, 
