Rank,Meet_Year,LEAGUE_NAME,Meet_Name,Game_id,Game_Date,HomeTeam,AwayTeam,Field_Name,Audience_Qty,Audience_Away_Qty,Day
38,2025,K리그2,하나은행 K리그2 2025,254,2025/11/01,수원,충북청주,수원 월드컵,9012,228,주말
39,2025,K리그2,하나은행 K리그2 2025,245,2025/10/19,화성,수원,화성 종합,8871,4648,주말
40,2025,K리그2,하나은행 K리그2 2025,100,2025/06/06,성남,수원,탄천 종합,8843,2225, 
41,2025,K리그2,하나은행 K리그2 2025,211,2025/09/27,전남,부천,순천 팔마,8589,87,주말
42,2025,K리그2,하나은행 K리그2 2025,81,2025/05/17,부산,수원,부산 구덕,8529,2929,주말
43,2025,K리그2,하나은행 K리그2 2025,32,2025/03/29,인천,부산,인천 전용,8507,343,주말
44,2025,K리그2,하나은행 K리그2 2025,183,2025/08/30,인천,충남아산,인천 전용,8441,202,주말
45,2025,K리그2,하나은행 K리그2 2025,199,2025/09/13,서울E,수원,목동 종합,8299,3369,주말
46,2025,K리그2,하나은행 K리그2 2025,269,2025/11/23,수원,김포,수원 월드컵,8278,281,주말
47,2025,K리그2,하나은행 K리그2 2025,75,2025/05/11,전남,성남,광양 전용,7975,63,주말
48,2025,K리그2,하나은행 K리그2 2025,60,2025/04/26,부천,인천,부천 종합,7561,3560,주말
49,2025,K리그2,하나은행 K리그2 2025,152,2025/07/27,인천,안산,인천 전용,7392,175,주말
50,2025,K리그2,하나은행 K리그2 2025,127,2025/07/05,충남아산,수원,아산 이순신,7382,4332,주말
51,2025,K리그2,하나은행 K리그2 2025,257,2025/11/02,인천,부산,인천 전용,7058,329,주말
52,2025,K리그2,하나은행 K리그2 2025,102,2025/06/07,전남,서울E,광양 전용,6946,95,주말
53,2025,K리그2,하나은행 K리그2 2025,202,2025/09/14,충북청주,성남,청주 종합,6862,176,주말
54,2025,K리그2,하나은행 K리그2 2025,265,2025/11/09,안산,수원,안산 와스타디움,6663,3620,주말
55,2025,K리그2,하나은행 K리그2 2025,156,2025/08/02,서울E,인천,목동 종합,6612,2760,주말
56,2025,K리그2,하나은행 K리그2 2025,212,2025/09/27,충남아산,수원,아산 이순신,6604,2950,주말
57,2025,K리그2,하나은행 K리그2 2025,195,2025/09/07,부천,인천,부천 종합,6569,3164,주말
58,2025,K리그2,하나은행 K리그2 2025,35,2025/03/30,충남아산,성남,아산 이순신,6519,174,주말
59,2025,K리그2,하나은행 K리그2 2025,82,2025/05/18,안산,인천,안산 와스타디움,6282,3351,주말
60,2025,K리그2,하나은행 K리그2 2025,172,2025/08/16,김포,수원,김포솔터축구장,6275,2220,주말
61,2025,K리그2,하나은행 K리그2 2025,217,2025/09/28,서울E,인천,목동 종합,6226,1725,주말
62,2025,K리그2,하나은행 K리그2 2025,27,2025/03/16,경남,전남,창원 축구센터,5969,275,주말
63,2025,K리그2,하나은행 K리그2 2025,141,2025/07/19,전남,수원,광양 전용,5945,1893,주말
64,2025,K리그2,하나은행 K리그2 2025,45,2025/04/12,부천,수원,부천 종합,5936,3156,주말
