season,game_id,date,day,stadium,home_team,home_score,away_team,away_score,home_shoot_total,home_shoot_ontarget,away_shoot_total,away_shoot_ontarget,home_corner,away_corner,home_offside,away_offside,home_possession,away_possession,home_foul,away_foul,home_yellow,away_yellow,home_red,away_red
2025,401645,2025-06-15 17:00:00,일,트랜스코스모스 스타디움,V나가사키,3,오미야,3,17,5,13,7,8,6,3,2,54,46,7,8,1,2,0,0
2025,401646,2025-06-22 14:00:00,일,소유 스타디움,B아키타,2,야마가타,3,12,6,11,6,8,3,0,2,42,58,10,12,4,4,0,0
2025,401647,2025-06-21 19:00:00,토,후쿠다 덴시,제프지바,0,주빌로이와타,1,2,1,14,6,6,4,1,0,46,54,21,17,4,2,0,0
2025,401648,2025-06-21 18:00:00,토,닌지니어,에히메,2,R야마구치,0,19,9,8,1,8,6,0,1,49,51,6,8,0,0,0,0
2025,401649,2025-06-21 19:00:00,토,후지에다 종합운동장,후지에다,1,삿포로,3,21,6,13,7,7,5,3,2,54,46,11,11,1,2,0,0
2025,401650,2025-06-21 18:00:00,토,스코어 영역,이마바리FC,1,미토홀리호크,2,7,5,13,4,3,5,3,3,50,50,7,10,1,2,0,0
2025,401651,2025-06-21 16:00:00,토,하와이언즈 스타디움 이와키,이와키FC,3,카탈레도야마,1,20,10,6,2,9,4,0,1,41,59,8,4,1,1,0,0
2025,401652,2025-06-22 13:35:00,일,에가오 겐코 스타디움,롯소구마모토,1,V나가사키,3,14,3,21,10,9,13,2,2,55,45,10,10,1,1,0,0
2025,401653,2025-06-21 19:00:00,토,NACK5 오미야,오미야,0,사간도스,0,8,5,11,1,3,4,0,2,41,59,17,9,3,1,1,0
2025,401654,2025-06-21 19:00:00,토,포카리 스웨트,도쿠시마,2,오이타,0,5,2,10,5,3,7,4,1,46,54,12,7,2,0,0,1
2025,401655,2025-06-22 18:00:00,일,유르테크 센다이,베갈타센다이,0,반포레고후,0,11,3,10,6,7,3,3,2,55,45,11,3,0,2,0,0
2025,401656,2025-06-28 19:00:00,토,후지에다 종합운동장,후지에다,0,이마바리FC,0,20,8,16,5,7,2,2,3,58,42,6,5,2,0,0,0
2025,401657,2025-06-28 14:00:00,토,삿포로 돔,삿포로,3,롯소구마모토,2,18,7,14,6,5,9,0,2,63,37,7,13,2,1,0,0
2025,401658,2025-06-28 19:30:00,토,야마하,주빌로이와타,0,베갈타센다이,1,11,2,7,4,5,1,2,1,55,45,14,19,4,4,0,0
2025,401659,2025-06-28 18:30:00,토,지트 재활용 잉크 스타디움,반포레고후,0,에히메,0,8,3,15,5,3,8,0,1,45,55,10,19,2,4,0,0
2025,401660,2025-06-28 18:00:00,토,K's 덴키 미토,미토홀리호크,1,도쿠시마,1,12,3,13,5,2,4,1,3,49,51,19,6,1,1,0,0
2025,401661,2025-06-28 19:00:00,토,ND 소프트 야마가타,야마가타,1,V나가사키,2,9,2,18,5,2,5,3,1,51,49,14,10,2,3,0,0
2025,401662,2025-06-28 19:00:00,토,쇼와 덴코 돔 오이타,오이타,0,오미야,0,5,2,13,1,3,5,3,1,48,52,11,10,1,1,0,0
2025,401663,2025-06-28 19:00:00,토,이신 미 라이프,R야마구치,1,B아키타,1,3,2,6,3,6,0,1,0,59,41,10,16,1,1,0,0
2025,401664,2025-06-28 19:00:00,토,도스 스타디움,사간도스,1,이와키FC,0,7,3,12,2,3,9,2,5,46,54,6,13,0,2,0,0
2025,401665,2025-06-28 18:00:00,토,도야마 레크레이션 파크,카탈레도야마,1,제프지바,0,25,9,8,5,7,3,1,4,48,52,6,10,1,1,0,0
2025,401666,2025-07-05 18:00:00,토,소유 스타디움,B아키타,0,미토홀리호크,2,8,1,14,9,4,2,1,2,46,54,9,8,2,0,0,0
2025,401667,2025-07-05 19:00:00,토,후쿠다 덴시,제프지바,0,사간도스,2,6,3,11,5,4,5,3,3,53,47,16,11,3,0,0,0
2025,401668,2025-07-06 19:00:00,일,닌지니어,에히메,1,야마가타,3,9,3,21,7,2,9,1,1,43,57,9,14,1,0,1,1
2025,401669,2025-07-05 14:00:00,토,삿포로 돔,삿포로,1,R야마구치,0,20,9,16,3,7,9,0,3,55,45,7,11,1,2,0,0
2025,401670,2025-07-05 19:00:00,토,스코어 영역,이마바리FC,2,반포레고후,4,24,7,17,10,2,8,3,3,49,51,5,8,0,1,0,0
2025,401671,2025-07-06 18:00:00,일,에가오 겐코 스타디움,롯소구마모토,2,주빌로이와타,0,22,10,13,5,6,5,1,1,51,49,14,8,1,0,0,0
2025,401672,2025-07-05 19:00:00,토,NACK5 오미야,오미야,1,이와키FC,2,9,3,24,8,4,12,1,3,46,54,12,15,4,1,0,0
2025,401673,2025-07-05 19:00:00,토,포카리 스웨트,도쿠시마,0,후지에다,2,26,10,12,6,5,3,3,1,63,37,12,6,1,1,0,0
2025,401674,2025-07-05 19:00:00,토,유르테크 센다이,베갈타센다이,0,카탈레도야마,1,26,5,4,3,12,4,0,1,60,40,5,12,0,2,0,0
2025,401675,2025-07-05 18:00:00,토,트랜스코스모스 스타디움,V나가사키,1,오이타,0,14,5,7,1,2,6,3,2,55,45,8,14,0,1,0,0
2025,401676,2025-07-12 18:00:00,토,소유 스타디움,B아키타,3,롯소구마모토,2,8,4,15,3,2,3,1,1,32,68,20,9,0,0,0,0
2025,401677,2025-07-12 19:00:00,토,후지에다 종합운동장,후지에다,1,베갈타센다이,1,10,2,15,4,2,5,2,2,50,50,14,9,0,3,0,0
2025,401678,2025-07-12 18:05:00,토,스코어 영역,이마바리FC,1,에히메,0,15,5,5,3,5,3,0,4,54,46,17,12,1,2,0,0
2025,401679,2025-07-12 18:00:00,토,하와이언즈 스타디움 이와키,이와키FC,1,V나가사키,1,17,6,13,7,9,6,5,2,47,53,10,10,1,1,0,0
2025,401680,2025-07-12 19:30:00,토,야마하,주빌로이와타,5,삿포로,1,18,6,16,2,2,9,0,1,48,52,6,12,1,0,0,1
2025,401681,2025-07-12 18:30:00,토,지트 재활용 잉크 스타디움,반포레고후,1,오미야,0,11,5,21,7,6,3,0,3,41,59,8,12,0,0,0,0
2025,401682,2025-07-12 18:00:00,토,K's 덴키 미토,미토홀리호크,3,카탈레도야마,0,16,6,7,1,7,4,0,0,46,54,9,14,1,4,0,0
2025,401683,2025-07-12 19:00:00,토,ND 소프트 야마가타,야마가타,0,제프지바,1,17,4,18,6,8,3,0,1,51,49,13,11,0,0,0,0
2025,401684,2025-07-12 19:00:00,토,이신 미 라이프,R야마구치,0,도쿠시마,0,7,1,22,6,2,6,1,4,42,58,17,19,1,1,1,0
2025,401685,2025-07-12 19:00:00,토,도스 스타디움,사간도스,2,오이타,1,11,4,10,3,2,3,2,3,52,48,10,12,1,1,1,0
2025,401686,2025-08-02 19:00:00,토,후쿠다 덴시,제프지바,2,이와키FC,2,11,4,13,2,1,1,1,1,49,51,16,17,1,1,0,0
2025,401687,2025-08-02 19:00:00,토,후지에다 종합운동장,후지에다,2,R야마구치,2,8,4,12,8,5,5,2,2,49,51,10,11,0,2,0,0
2025,401688,2025-08-02 14:00:00,토,삿포로 돔,삿포로,1,사간도스,0,13,4,13,6,3,6,0,2,49,51,13,3,1,0,0,0
2025,401689,2025-08-02 19:30:00,토,야마하,주빌로이와타,1,B아키타,4,8,4,19,10,7,7,3,0,68,32,7,10,4,3,0,0
2025,401690,2025-08-02 18:30:00,토,지트 재활용 잉크 스타디움,반포레고후,1,야마가타,3,16,6,15,8,4,7,0,3,47,53,8,7,0,2,0,0
2025,401691,2025-08-03 19:00:00,일,에가오 겐코 스타디움,롯소구마모토,2,미토홀리호크,1,15,5,14,3,3,7,1,2,61,39,10,13,3,1,1,0
2025,401692,2025-08-02 19:00:00,토,쇼와 덴코 돔 오이타,오이타,0,이마바리FC,1,12,2,11,2,6,2,2,4,53,47,13,14,0,4,0,0
2025,401693,2025-08-02 19:00:00,토,포카리 스웨트,도쿠시마,1,에히메,0,18,4,7,2,3,4,1,1,54,46,16,8,1,0,0,0
2025,401694,2025-08-02 18:00:00,토,도야마 레크레이션 파크,카탈레도야마,0,오미야,2,13,2,13,8,7,4,1,1,55,45,6,7,1,1,0,0
2025,401695,2025-08-02 18:00:00,토,트랜스코스모스 스타디움,V나가사키,0,베갈타센다이,0,19,11,7,2,6,3,7,1,57,43,8,16,3,0,0,0
2025,401696,2025-08-09 18:00:00,토,소유 스타디움,B아키타,0,후지에다,0,5,1,9,1,4,7,2,3,38,62,14,7,2,2,0,0
2025,401697,2025-08-10 19:00:00,일,닌지니어,에히메,0,사간도스,1,11,4,4,2,5,1,2,2,50,50,19,17,3,2,0,0
2025,401698,2025-08-09 19:00:00,토,스코어 영역,이마바리FC,3,롯소구마모토,2,11,6,10,4,2,5,4,0,36,64,7,5,2,1,0,0
2025,401699,2025-08-10 18:00:00,일,하와이언즈 스타디움 이와키,이와키FC,3,주빌로이와타,1,30,12,7,1,7,4,0,0,38,62,18,10,3,1,0,0
2025,401700,2025-08-10 19:00:00,일,ND 소프트 야마가타,야마가타,1,미토홀리호크,2,14,5,8,3,9,2,1,0,52,48,12,9,3,2,0,0
2025,401701,2025-08-09 19:00:00,토,쇼와 덴코 돔 오이타,오이타,2,카탈레도야마,2,20,7,11,6,5,2,0,4,46,54,13,8,3,1,0,0
2025,401702,2025-08-09 19:00:00,토,NACK5 오미야,오미야,0,제프지바,1,16,4,13,5,6,5,0,3,55,45,13,7,1,2,0,0
2025,401703,2025-08-11 19:00:00,월,이신 미 라이프,R야마구치,0,반포레고후,1,15,6,11,5,6,0,0,0,53,47,8,7,0,0,0,0
2025,401704,2025-08-10 19:00:00,일,유르테크 센다이,베갈타센다이,0,도쿠시마,2,20,9,8,3,8,3,3,1,50,50,13,17,1,2,0,0
2025,401705,2025-08-09 18:00:00,토,트랜스코스모스 스타디움,V나가사키,2,삿포로,1,24,8,5,1,4,0,1,0,57,43,9,11,2,0,0,0
2025,401706,2025-08-16 19:00:00,토,후쿠다 덴시,제프지바,1,도쿠시마,0,13,4,18,5,4,2,1,0,38,62,6,10,2,2,0,0
2025,401707,2025-08-17 19:00:00,일,닌지니어,에히메,0,오미야,3,6,4,9,4,2,4,3,2,49,51,14,15,0,1,0,0
2025,401708,2025-08-16 14:00:00,토,삿포로 돔,삿포로,0,B아키타,2,18,1,13,4,9,7,1,0,71,29,8,7,1,0,0,0
2025,401709,2025-08-17 18:30:00,일,지트 재활용 잉크 스타디움,반포레고후,2,오이타,0,20,6,3,1,7,2,1,1,50,50,5,8,1,1,0,0
2025,401710,2025-08-16 19:00:00,토,에가오 겐코 스타디움,롯소구마모토,2,후지에다,1,10,5,14,2,2,2,0,3,37,63,10,14,1,2,0,0
