Meet_Year,LEAGUE_NAME,Round,Game_id,Game_Datetime,Day,HomeTeam,AwayTeam,HomeRank,AwayRank,Field_Name,Audience_Qty,Weather,Temperature,Humidity
2025,K리그1,14,79,2025-05-17 16:30:00,토,전북,안양,2,7,전주 월드컵 경기장,21021,맑음,26.0,60
2025,K리그1,14,80,2025-05-17 19:00:00,토,강원,울산,8,3,춘천 송암 스포츠타운,6920,흐리고 비,23.0,59
2025,K리그1,14,81,2025-05-17 19:00:00,토,김천,제주,4,11,김천 종합 운동장,1771,맑음,27.7,42
2025,K리그1,14,82,2025-05-18 16:30:00,일,포항,광주,5,6,포항 스틸야드,9819,맑음,18.0,59
2025,K리그1,14,83,2025-05-18 16:30:00,일,대구,서울,11,9,대구iM뱅크PARK,11699,맑음,22.8,34
2025,K리그1,14,84,2025-05-18 19:00:00,일,수원FC,대전,12,1,수원 종합 운동장,3579,맑음,19.8,32
2025,K리그1,15,85,2025-05-23 19:30:00,금,제주,전북,11,2,제주 월드컵 경기장,6224,비,17.0,87
2025,K리그1,15,86,2025-05-23 19:30:00,금,안양,포항,9,6,안양 종합 운동장,6124,흐림,21.7,40
2025,K리그1,15,87,2025-05-24 16:30:00,토,서울,수원FC,7,10,서울 월드컵 경기장,25578,흐림,17.3,60
2025,K리그1,15,88,2025-05-24 19:00:00,토,울산,김천,3,4,울산 문수 축구경기장,16012,흐리고 비,12.0,90
2025,K리그1,15,89,2025-05-24 19:00:00,토,대전,대구,2,12,대전 월드컵 경기장,10417,흐림,14.4,78
2025,K리그1,15,90,2025-05-25 16:30:00,일,광주,강원,6,8,광주 월드컵 경기장,4554,맑음,24.5,43
2025,K리그1,16,91,2025-05-27 19:30:00,화,수원FC,제주,10,11,수원 종합 운동장,1884,맑음,24.3,55
2025,K리그1,16,92,2025-05-27 19:30:00,화,대전,포항,1,5,대전 월드컵 경기장,5833,맑음,25.3,36
2025,K리그1,16,93,2025-05-27 19:30:00,화,대구,전북,12,2,대구iM뱅크PARK,7994,맑음,27.3,26
2025,K리그1,16,94,2025-05-28 19:30:00,수,김천,서울,5,8,김천 종합 운동장,2040,맑음,26.6,32
2025,K리그1,16,95,2025-05-28 19:30:00,수,강원,안양,7,9,춘천 송암 스포츠타운,3135,비,19.5,75
