Meet_Year,LEAGUE_NAME,Round,Game_Datetime,Day,HomeTeam,AwayTeam,HomeDistance,AwayDistance,HomeSprint,AwaySprint,Audience_Qty,Weather,Temperature,Humidity
2025,J리그1,11,2025-04-20 14:04:00,일,清水,福岡,112.616,114.565,119,113,16366,흐림,25.2,37
2025,J리그1,11,2025-04-20 14:03:00,일,名古屋,広島,114.845,107.345,119,108,29072,흐림,23.8,62
2025,J리그1,11,2025-04-20 14:03:00,일,神戸,町田,114.255,110.756,119,104,21920,흐림 후 맑음,23.2,49
2025,J리그1,11,2025-04-20 14:03:00,일,岡山,鹿島,112.107,105.065,102,96,15325,흐림,24.3,51
2025,J리그1,11,2025-04-20 15:03:00,일,川崎Ｆ,東京Ｖ,111.597,115.837,111,127,21870,흐림,24.3,41
2025,J리그1,11,2025-04-20 15:03:00,일,湘南,柏,122.811,121.888,161,169,11936,흐림,24,51
2025,J리그1,11,2025-04-20 15:03:00,일,Ｃ大阪,FC東京,118.376,118.021,147,140,16113,흐림,25.3,48
2025,J리그1,11,2025-04-20 16:03:00,일,浦和,横浜FM,118.805,116.988,153,114,41981,맑음 후 흐림,23.5,52
2025,J리그1,12,2025-04-25 19:03:00,일,鹿島,名古屋,108.383,107.509,111,116,13550,흐림,17,71
2025,J리그1,12,2025-04-25 19:03:00,일,東京Ｖ,Ｃ大阪,124.575,121.183,138,118,11334,흐림,19.7,82
2025,J리그1,12,2025-04-25 19:03:00,일,町田,湘南,118.444,119.934,122,163,7683,흐림,18.9,87
2025,J리그1,12,2025-04-25 19:03:00,일,京都,横浜FC,118.524,112.955,148,124,10671,흐림,14.3,40
2025,J리그1,12,2025-04-25 19:03:00,일,福岡,岡山,124.592,125.742,106,119,6157,맑음,16.5,44
2025,J리그1,12,2025-04-25 19:33:00,일,浦和,広島,119.059,115.34,173,164,28555,비 후 흐림,18.4,90
2025,J리그1,12,2025-04-25 19:33:00,일,FC東京,Ｇ大阪,116.712,113.503,165,125,44519,흐림,21.5,41
2025,J리그1,12,2025-04-26 14:03:00,일,柏,新潟,122.738,121.973,156,115,13030,흐림 후 비,17.2,39
2025,J리그1,13,2025-04-29 13:09:00,일,FC東京,清水,110.465,112.728,134,149,33769,맑음,22.7,20
2025,J리그1,13,2025-04-29 14:03:00,일,横浜FC,鹿島,103.312,103.465,131,121,13252,맑음,22.7,24
2025,J리그1,13,2025-04-29 14:03:00,일,名古屋,柏,120.413,121.726,145,185,34151,맑음,18.1,34
2025,J리그1,13,2025-04-29 14:03:00,일,岡山,東京Ｖ,116.954,116.145,117,126,14285,맑음,20.3,33
2025,J리그1,13,2025-04-29 14:03:00,일,広島,新潟,116.576,125.28,126,109,25246,맑음,20.1,27
2025,J리그1,13,2025-04-29 15:03:00,일,湘南,福岡,119.409,117.11,118,99,11644,맑음,22.8,38
2025,J리그1,13,2025-04-29 15:03:00,일,Ｇ大阪,京都,109.25,115.992,116,140,30620,맑음,19.1,30
2025,J리그1,13,2025-04-29 15:03:00,일,Ｃ大阪,町田,123.864,120.506,153,181,18030,맑음,21.1,29
2025,J리그1,14,2025-05-03 13:03:00,일,広島,福岡,114.291,119.988,128,126,25631,맑음,23.2,20
2025,J리그1,14,2025-05-03 14:03:00,일,新潟,FC東京,125.697,125.997,168,155,30272,맑음 후 흐림,18.4,57
2025,J리그1,14,2025-05-03 14:03:00,일,清水,名古屋,111,114.631,122,131,52847,맑음,22.8,20
2025,J리그1,14,2025-05-03 15:03:00,일,浦和,東京Ｖ,120.603,120.498,139,127,52429,맑음,22.8,32
2025,J리그1,14,2025-05-03 15:03:00,일,鹿島,町田,106.952,107.268,117,98,33762,맑음,18.2,73
2025,J리그1,14,2025-05-03 15:03:00,일,Ｇ大阪,湘南,118.709,117.692,117,127,29937,맑음,22.2,29
2025,J리그1,14,2025-05-03 15:03:00,일,神戸,岡山,112.317,113.713,126,155,25596,맑음,20.1,29
2025,J리그1,14,2025-05-03 19:03:00,일,京都,Ｃ大阪,119.43,117.896,173,125,18452,흐림,19,58
2025,J리그1,15,2025-05-06 14:03:00,일,浦和,Ｇ大阪,115.859,113.862,135,124,41770,비,14.1,90
2025,J리그1,15,2025-05-06 14:03:00,일,神戸,Ｃ大阪,120.7,119.975,130,123,24891,실내,20.4,57
2025,J리그1,15,2025-05-06 14:03:00,일,福岡,鹿島,112.977,107.662,86,99,14039,흐림,18.7,70
2025,J리그1,15,2025-05-06 15:03:00,일,名古屋,岡山,116.529,117.104,123,129,24867,흐림,16.8,90
2025,J리그1,15,2025-05-06 16:03:00,일,柏,清水,125.554,122.591,137,135,11747,비 후 흐림,15.7,90
2025,J리그1,15,2025-05-06 16:03:00,일,東京Ｖ,横浜FC,124.615,116.903,157,110,14258,비 후 흐림,17.3,90
2025,J리그1,15,2025-05-07 19:03:00,일,町田,京都,121.971,125.842,126,161,7183,흐림,17.5,44
2025,J리그1,15,2025-05-07 19:03:00,일,湘南,広島,118.333,112.439,149,133,8871,흐림,18.9,39
2025,J리그1,16,2025-05-10 14:03:00,일,横浜FC,福岡,107.419,108.326,120,102,8311,흐림,21.8,77
2025,J리그1,16,2025-05-10 15:03:00,일,FC東京,神戸,111.799,112.993,154,148,24837,흐림 후 맑음,21.3,52
2025,J리그1,16,2025-05-10 16:03:00,일,柏,岡山,112.894,115.11,148,124,12414,흐림 후 맑음,21.1,76
2025,J리그1,16,2025-05-11 13:10:00,일,鹿島,川崎Ｆ,111.01,113.782,123,130,59574,맑음,25.9,45
2025,J리그1,16,2025-05-11 13:08:00,일,清水,町田,115.356,118.311,117,116,16741,맑음,26.7,23
2025,J리그1,16,2025-05-11 14:03:00,일,京都,名古屋,118.723,115.514,161,121,16994,흐림,21.5,51
2025,J리그1,16,2025-05-11 14:08:00,일,新潟,浦和,122.216,119.624,123,148,27412,맑음,18.3,68
2025,J리그1,16,2025-05-11 15:03:00,일,Ｇ大阪,広島,103.282,107.76,111,105,30633,흐림,22.3,45
2025,J리그1,16,2025-05-11 15:03:00,일,東京Ｖ,湘南,119.693,114.874,126,134,14801,맑음 후 흐림,25.9,40
2025,J리그1,16,2025-05-11 15:03:00,일,Ｃ大阪,横浜FM,119.682,120.759,142,124,18797,흐림,23.6,39
2025,J리그1,14,2025-05-14 19:03:00,일,川崎Ｆ,横浜FC,110.177,112.279,99,103,20175,맑음,21.5,57
2025,J리그1,17,2025-05-17 14:04:00,일,町田,柏,121.353,116.143,125,119,8741,雨時々晴,22.4,90
2025,J리그1,14,2025-05-14 19:03:00,일,横浜FM,柏,126.889,128.419,112,154,14513,맑음,20.6,60
2025,J리그1,17,2025-05-17 14:03:00,일,横浜FM,京都,105.051,111.182,113,153,20786,비,23.1,90
