Meet_Year,LEAGUE_NAME,Round,Game_id,Game_Datetime,Day,HomeTeam,AwayTeam,HomeRank,AwayRank,HomePoints,AwayPoints,Field_Name,Audience_Qty,Weather,Temperature,Humidity,home_possession,home_attempts,home_on_target,home_fouls,home_yellow_cards,home_red_cards,home_double_yellow_cards,home_corners,home_free_kicks,home_offsides,away_possession,away_attempts,away_on_target,away_fouls,away_yellow_cards,away_red_cards,away_double_yellow_cards,away_corners,away_free_kicks,away_offsides,home_first_15_possession,home_first_30_possession,home_first_45_possession,home_second_15_possession,home_second_30_possession,home_second_45_possession,away_first_15_possession,away_first_30_possession,away_first_45_possession,away_second_15_possession,away_second_30_possession,away_second_45_possession
2015,K리그1,8,48,2015-04-26 16:00:00,일,수원,대전,2,12,14,1,수원 월드컵 경기장,11792,맑음,0.0,0,59.0,21.0,7.0,13.0,2.0,0.0,0.0,11.0,16.0,3.0,41.0,5.0,5.0,17.0,6.0,0.0,0.0,1.0,19.0,2.0,56.85,57.82,58.67,61.73,58.5,58.66,43.15,42.18,41.33,38.27,41.5,41.34
2015,K리그1,9,49,2015-05-02 14:00:00,토,서울,성남,9,7,8,10,서울 월드컵 경기장,18441,맑음,0.0,0,51.0,5.0,2.0,15.0,4.0,0.0,0.0,2.0,15.0,0.0,49.0,12.0,5.0,10.0,2.0,0.0,0.0,5.0,12.0,2.0,45.71,47.62,52.11,52.87,55.17,49.66,54.29,52.38,47.89,47.13,44.83,50.34
2015,K리그1,9,50,2015-05-02 15:00:00,토,전북,수원,1,2,19,14,전주 월드컵 경기장,30410,맑음,0.0,0,48.0,13.0,6.0,9.0,2.0,0.0,0.0,4.0,11.0,2.0,52.0,10.0,6.0,13.0,3.0,0.0,0.0,6.0,15.0,2.0,47.48,49.79,47.81,50.58,50.29,47.33,52.52,50.21,52.19,49.42,49.71,52.67
2015,K리그1,9,51,2015-05-03 14:00:00,일,대전,인천,12,10,4,6,대전 월드컵 경기장,3219,흐림,0.0,0,52.0,11.0,5.0,13.0,2.0,0.0,0.0,8.0,17.0,4.0,48.0,12.0,7.0,13.0,2.0,0.0,0.0,4.0,13.0,0.0,48.71,47.35,47.56,60.49,58.42,56.75,51.29,52.65,52.44,39.51,41.58,43.25
2015,K리그1,9,52,2015-05-03 13:30:00,일,광주,전남,8,5,9,13,광주 월드컵 경기장,3117,흐림,21.0,64,48.0,12.0,6.0,12.0,2.0,0.0,0.0,4.0,12.0,0.0,52.0,6.0,5.0,12.0,1.0,0.0,0.0,7.0,16.0,4.0,60.14,57.48,54.32,46.24,43.66,42.42,39.86,42.52,45.68,53.76,56.34,57.58
2015,K리그1,9,53,2015-05-05 14:00:00,화,제주,울산,7,3,12,14,제주 월드컵 경기장,20013,맑음,17.0,0,48.0,9.0,4.0,11.0,1.0,0.0,0.0,1.0,14.0,3.0,52.0,9.0,2.0,15.0,4.0,0.0,0.0,6.0,18.0,3.0,61.92,56.07,54.11,36.83,44.67,40.88,38.08,43.93,45.89,63.17,55.33,59.12
2015,K리그1,9,54,2015-05-05 14:00:00,화,포항,부산,4,11,13,5,포항 스틸야드,15853,맑음,0.0,0,57.0,13.0,3.0,10.0,1.0,0.0,0.0,5.0,11.0,1.0,43.0,4.0,3.0,16.0,1.0,0.0,0.0,0.0,16.0,0.0,59.64,51.24,55.78,61.57,65.09,58.29,40.36,48.76,44.22,38.43,34.91,41.71
2015,K리그1,10,55,2015-05-09 14:00:00,토,광주,수원,7,3,12,14,광주 월드컵 경기장,2884,맑음,24.0,35,51.0,6.0,3.0,11.0,0.0,0.0,0.0,3.0,16.0,5.0,49.0,6.0,4.0,16.0,2.0,0.0,0.0,7.0,17.0,1.0,43.98,46.28,48.99,35.78,47.66,52.12,56.02,53.72,51.01,64.22,52.34,47.88
2015,K리그1,10,56,2015-05-09 14:00:00,토,전남,대전,6,12,13,4,광양 전용 구장,4642,맑음,21.0,50,53.0,18.0,7.0,10.0,0.0,0.0,0.0,9.0,12.0,2.0,47.0,5.0,2.0,14.0,1.0,0.0,0.0,6.0,17.0,3.0,59.15,52.14,51.41,57.63,56.48,54.64,40.85,47.86,48.59,42.37,43.52,45.36
2015,K리그1,10,57,2015-05-09 16:00:00,토,인천,제주,9,2,9,15,인천 축구 전용경기장,8178,맑음,0.0,0,42.0,7.0,3.0,17.0,2.0,0.0,0.0,1.0,19.0,2.0,58.0,10.0,5.0,14.0,2.0,0.0,0.0,8.0,14.0,0.0,47.91,48.79,44.91,37.16,35.14,38.87,52.09,51.21,55.09,62.84,64.86,61.13
2015,K리그1,10,58,2015-05-10 14:00:00,일,울산,전북,4,1,14,22,울산 문수 축구경기장,7012,맑음,0.0,0,51.0,10.0,5.0,14.0,2.0,0.0,0.0,4.0,15.0,1.0,49.0,15.0,9.0,6.0,0.0,0.0,0.0,1.0,7.0,1.0,51.72,49.52,44.73,53.19,59.29,57.8,48.28,50.48,55.27,46.81,40.71,42.2
2015,K리그1,10,59,2015-05-10 14:00:00,일,부산,서울,11,10,8,9,부산 아시아드 경기장,9123,맑음,21.0,60,54.0,12.0,5.0,12.0,2.0,0.0,0.0,7.0,13.0,1.0,46.0,5.0,3.0,12.0,0.0,0.0,0.0,2.0,17.0,5.0,53.23,51.74,52.02,54.07,55.26,56.27,46.77,48.26,47.98,45.93,44.74,43.73
