game_id,datetime,home_team,away_team,stadium,audience,weather,temp,humidity,broadcast
91,2025-05-27 19:30:00,수원FC,제주,수원 종합 운동장,1884,맑음,24.3,55,"IB SPORTS, COUPANGPLAY"
92,2025-05-27 19:30:00,대전,포항,대전 월드컵 경기장,5833,맑음,25.3,36,"JTBC G&S, COUPANGPLAY"
93,2025-05-27 19:30:00,대구,전북,대구iM뱅크PARK,7994,맑음,27.3,26,"skySports, COUPANGPLAY"
94,2025-05-28 19:30:00,김천,서울,김천 종합 운동장,2040,맑음,26.6,32,"JTBC G&S, KFN, COUPANGPLAY"
95,2025-05-28 19:30:00,강원,안양,춘천 송암 스포츠타운,3135,비,19.5,75,"IB SPORTS, COUPANGPLAY"
96,2025-05-28 19:30:00,광주,울산,광주 월드컵 경기장,2933,맑음,24.0,53,"skySports, COUPANGPLAY"
97,2025-05-31 19:00:00,서울,제주,서울 월드컵 경기장,24270,흐림,23.5,50,"JTBC G&S, COUPANGPLAY"
98,2025-05-31 19:00:00,전북,울산,전주 월드컵 경기장,31830,맑음,24.0,49,"skySports, COUPANGPLAY"
99,2025-05-31 19:00:00,안양,대전,안양 종합 운동장,8752,흐림,24.2,40,"IB SPORTS, COUPANGPLAY"
100,2025-06-01 19:00:00,김천,수원FC,김천 종합 운동장,1533,맑음,29.9,28,"IB SPORTS, KFN, COUPANGPLAY"
101,2025-06-01 19:00:00,포항,강원,포항 스틸야드,8944,맑음,19.0,77,"JTBC G&S, COUPANGPLAY"
102,2025-06-01 19:00:00,대구,광주,대구iM뱅크PARK,11111,맑음,30.5,24,"skySports, COUPANGPLAY"
103,2025-06-13 19:30:00,강원,전북,춘천 송암 스포츠타운,6219,흐림,27.0,47,"JTBC G&S, COUPANGPLAY"
104,2025-06-13 19:30:00,광주,서울,광주 월드컵 경기장,2746,비,23.0,85,"skySports, COUPANGPLAY"
105,2025-06-14 19:00:00,김천,포항,김천 종합 운동장,2681,맑음,26.8,71,"IB SPORTS, KFN, COUPANGPLAY"
106,2025-06-14 19:00:00,수원FC,안양,수원 종합 운동장,7524,맑음,28.8,58,"JTBC G&S, COUPANGPLAY"
107,2025-06-14 19:00:00,제주,대구,제주 월드컵 경기장,6542,맑음,24.0,83,"GOLF&PBA, COUPANGPLAY"
